what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.tm.terminal.view,2.2.0.v201103142315,"org.eclipse.tm.terminal.view",1739934880288
started,bundle,org.eclipse.tm.terminal,3.1.0.v201106081330,"org.eclipse.tm.terminal",1739934880288
opened,view,org.eclipse.tm.terminal.view,2.2.0.v201103142315,"org.eclipse.tm.terminal.view.TerminalView",1739934880488
activated,view,org.eclipse.tm.terminal.view,2.2.0.v201103142315,"org.eclipse.tm.terminal.view.TerminalView",1739934880573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1739934880588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1739934880588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1739934894574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1739934901107
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1739934905463
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1739934909789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1739934968503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1739935007876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1739935010301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1739935123063
activated,view,org.eclipse.tm.terminal.view,2.2.0.v201103142315,"org.eclipse.tm.terminal.view.TerminalView",1739935124703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1739935133908
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1739935140599
opened,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.sync.views.SynchronizeView",1739935140715
opened,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1739935140768
opened,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.repositories",1739935140815
activated,perspective,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.TeamSynchronizingPerspective",1739935140846
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1739935140884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1739935140946
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1739935140946
activated,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.repositories",1739935147431
